Inflight wifi service,Age,Flight Distance,Class,Online boarding,Checkin service,Loyal Customer,Seat comfort,Leg room service,Business Travel
2,26,2062,3,2,3,1,2,3,1
5,52,680,3,4,4,1,4,4,1
3,28,188,1,3,4,1,3,3,0
3,54,453,3,4,4,1,4,3,1
4,40,775,1,4,3,1,4,1,1
5,79,2727,3,4,2,1,4,4,1
2,41,1192,1,2,4,1,3,1,0
0,24,1506,3,0,3,0,4,2,1
5,49,680,1,5,2,1,5,4,1
2,40,488,1,2,4,1,2,5,0
3,59,802,1,3,3,1,5,1,0
2,40,3797,3,2,2,1,2,2,1
5,21,1075,3,5,5,0,2,3,1
4,57,2938,3,4,4,1,5,2,1
3,28,971,1,3,3,0,2,1,1
3,25,2744,3,4,4,1,5,5,1
4,41,1075,2,4,2,1,5,3,1
3,22,228,2,3,4,1,5,3,0
4,49,3982,3,3,4,1,3,4,1
2,29,404,1,2,2,1,5,3,0
2,48,991,1,2,4,1,4,3,0
3,9,351,2,3,4,1,3,1,0
3,49,1096,3,4,5,1,4,4,1
2,49,1514,3,3,3,1,4,2,1
2,30,302,1,2,3,0,4,2,1
4,42,187,1,0,4,1,3,2,0
2,17,1184,1,2,4,1,3,3,0
2,32,680,3,2,3,0,1,4,1
4,44,128,2,4,4,1,4,3,1
1,27,280,3,4,4,1,4,3,1
1,43,239,2,1,3,1,1,4,1
1,28,621,1,1,5,1,3,2,0
5,46,1440,3,5,4,1,4,4,1
2,37,574,3,4,1,1,1,4,1
1,25,626,1,1,3,1,4,1,0
3,24,1276,1,3,5,0,1,5,1
0,53,328,3,5,3,1,4,5,1
0,23,746,3,0,4,0,4,3,1
1,12,546,1,1,1,1,2,3,0
4,33,1735,3,4,4,1,4,4,1
1,40,224,1,1,4,1,1,2,1
0,41,2783,3,4,5,1,4,3,1
0,10,1009,1,0,2,1,4,3,0
4,42,404,1,4,5,0,3,4,1
1,7,1514,3,1,4,1,1,2,1
5,52,1090,3,4,5,1,5,4,1
4,15,562,1,4,1,0,3,5,1
4,24,202,1,4,3,0,3,5,1
1,52,585,3,4,3,1,4,4,1
4,65,451,1,5,3,1,4,4,0
3,28,991,1,3,5,1,2,4,0
0,20,1034,1,0,3,1,5,2,1
3,34,1608,1,3,5,1,2,3,0
4,31,678,1,4,5,1,5,2,0
5,26,2075,3,4,4,1,4,5,1
4,57,321,1,2,3,1,4,5,0
1,39,590,1,1,3,1,4,4,0
1,52,1156,1,4,2,1,4,1,0
